# BEAST v10.5.0
# Generated Mon May 18 09:51:47 CEST 2026 [seed=1779090702777]
# Alignment_101025_sa_cov1_lag1.xml
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	precision	precPrior	randomWalk	coalescent	samplingBetas1	samplingBetas2	samplingModel	skygrid.cutOff	logPop1	logPop2	logPop3	logPop4	logPop5	logPop6	logPop7	logPop8	logPop9	logPop10	logPop11	logPop12	effPop1	effPop2	effPop3	effPop4	effPop5	effPop6	effPop7	effPop8	effPop9	effPop10	effPop11	effPop12	skygrid.coefficients1	skygrid.coefficients2	skygrid.coefficients3	skygrid.indicators1	skygrid.indicators2	skygrid.indicators3
1000000	-44108.55987123024	3142.535237845611	-47251.095109075846	5.712746774782388	2019.8817737731629	2004.8114582568444	0.8679631301375254	1.139363904811582	0.9755538467464988	0.8487007637242749	1.2865932449537523	0.8818251096263654	0.26329500843196446	0.2688393170437194	0.24399048522711664	0.2238751892971999	0.023611593660694118	1.3528696699050097E-4	1.3528696699050083E-4	-47251.095109075846	0.0	1.637372445513204	-5.150067166064532	-25.377948716380057	-20686.042749204058	1.8687975782394075	0.764253312681195	23887.35407940908	1.0	7.035950357135388	8.216371952651246	7.906202026713967	9.345915913855038	10.051387089985784	7.108610089257116	6.1481983586890285	7.586273992631151	7.018436907976156	6.285473466997352	5.912276302580476	4.903676034625253	1136.7747409853425	3701.0504089443875	2714.0629283997173	11451.957028019913	23187.92829182749	1222.4472721547781	467.8736864261417	1970.956018568701	1117.039217337504	536.7183489137321	369.5463981428903	134.78434202208496	-0.2218521956615127	-0.2843637369290646	1.7765426033286842	1.0	1.0	1.0
1100000	-43178.73449585854	3313.667117907616	-46492.40161376615	6.187799078082959	2019.4067214698623	1907.9155583209053	0.8565263848558956	1.1763336162951277	0.936845201718733	0.8440073687984353	1.2965407646236482	0.8897466637081586	0.2728815160204367	0.25776765840360066	0.2435360535935661	0.22581477198239694	0.06158629622469927	1.382371406608272E-4	1.382371406608265E-4	-46492.40161376615	0.0	1.6176435971492635	-5.137868831316926	-25.2996490523224	-20514.627457265215	1.8927826174516076	0.7681858327516046	23886.60811489445	1.0	6.909289628498431	8.0914355378022	7.78104365598803	9.222707476291523	9.929155554197505	6.982456360005301	6.020688340310386	7.460596616721764	6.891848805030785	6.157853464406335	5.784059653698311	4.77412634385216	1001.5355272327793	3266.3732084334533	2394.77283578639	10124.438931753566	20520.005230811315	1077.5619990081548	411.8619993928902	1738.1847781597817	984.219365899171	472.41293452834293	325.0762121292182	118.4068225705881	-0.36245055937839443	-0.2832113212503471	1.7788833745297672	1.0	1.0	1.0
1200000	-42306.33661209141	3404.6339879368015	-45710.97060002821	5.758221431132123	2019.836299116813	1835.449302633987	0.816993492769524	1.1947117866199821	0.9386255746602574	0.8296387580997585	1.3315569122633728	0.8884734755871033	0.2722718713539988	0.2586850864824403	0.24291256296504413	0.22613047919851717	0.09115240978976721	1.4267243443709856E-4	1.426724344370981E-4	-45710.97060002821	0.0	1.0058883374177172	-4.66140282148154	-22.46907377119418	-20427.841594003294	1.940661135022881	0.7681858327516046	23886.818249976226	1.0	6.866546322908906	8.047551556199004	7.735899304800918	9.177205600863623	9.883333911809888	6.936937064483212	5.975782283642476	7.416110167861093	6.848459523179303	6.11491067296898	5.741825076705581	4.731919515317156	959.6285887747102	3126.131436113271	2289.0663472794035	9674.081721273404	19600.961728783266	1029.6117459510533	393.77602517670005	1662.5538581102974	942.427999385671	452.5556201156816	311.6326457701204	113.51324377052768	-0.37566460976786376	-0.29351906929095484	1.7788833745297672	1.0	1.0	1.0
1300000	-41496.1713780157	3521.6158595226607	-45017.78723753836	5.673189417712788	2019.9213311302324	1780.3552438915954	0.8181672434297301	1.224093403070155	0.8937856775683396	0.8171428199765272	1.3373970204479961	0.9094138355072503	0.26886910710720857	0.26465088096032763	0.24186180728369808	0.22461820464876608	0.08238597404320937	1.4133667833961816E-4	1.413366783396186E-4	-45017.78723753836	0.0	0.570458017290816	-4.095533615360672	-21.723193477643797	-20313.141338771202	1.9992360076657596	0.7708195668134048	23888.023811829895	1.0	6.7981397062678175	7.980024579231209	7.668172431412398	9.110530890319092	9.817177664392593	6.868638773855641	5.906774607013535	7.348137903627778	6.780053129619629	6.045963323743903	5.672592664249695	4.661954463523844	896.1785845851907	2922.0028837833115	2139.1683936919376	9050.098225840391	18346.1984740272	961.6386667852212	367.5188489558984	1553.301436234527	880.1154830664942	422.40447381071385	290.7874721959279	105.842745918642	-0.44993053453574827	-0.29351906929095484	1.7801728624714763	1.0	1.0	1.0
1400000	-40936.28992073157	3550.7111265285066	-44487.00104726008	5.400213266419657	2020.1943072815254	1741.583674257683	0.7991844691935849	1.246656834015337	0.8834954558256894	0.808447150058496	1.3441220828922769	0.918094008014614	0.2695448540719312	0.26229038988298864	0.24455766579881277	0.22360709024626776	0.11019143051515422	1.441644185368925E-4	1.441644185368924E-4	-44487.00104726008	0.0	0.8622729311238434	-4.507452710523439	-22.050446388094826	-20284.508487533745	1.9709599793232266	0.7808848799535208	23888.8490904762	1.0	6.7275411470982185	7.909479289223626	7.5966028583927	9.039695699150947	9.746608700883238	6.796291288458978	5.834179900129827	7.276779734166542	6.709024499741137	5.974732085080646	5.60156967185928	4.590272768352605	835.0913725755532	2722.972216147031	1991.4192578047746	8431.211040926852	17096.15222148289	894.5236021502533	341.784321805028	1446.3229733372743	819.7705628803255	393.36269923651884	270.85122146999674	98.52129998985514	-0.506275832849542	-0.30038493447502224	1.7813647487609723	1.0	1.0	1.0
1500000	-40295.779714159005	3741.360264296932	-44037.13997845594	6.314808630488997	2019.279711917456	1665.0478854247976	0.7759979752982403	1.2489392103651162	0.8900002982311356	0.7743209695724936	1.3598360646402714	0.9509054818927407	0.27135549371982326	0.26516082562753995	0.23881070723013087	0.2246729734225063	0.11996953159920488	1.432719730510575E-4	1.4327197305105742E-4	-44037.13997845594	0.0	0.7590406742306879	-4.380179071976752	-21.8263076270375	-20094.4983333656	2.0192418480015526	0.7824606453378394	23889.372387960582	1.0	6.616032176764131	7.798495267978868	7.486198870266346	8.929456246810709	9.636516408097764	6.6860598529986195	5.723666246779212	7.166072973628921	6.597812813339016	5.863314919880443	5.489826580170484	4.478516906580597	746.9753431555347	2436.9322873205992	1783.2607871048212	7551.158293327142	15313.903314212997	801.1593394963985	306.02483132446343	1294.7500884636938	733.4891558371726	351.88869558864167	242.21519829710576	88.10390940428522	-0.6313744249869173	-0.29564121857137216	1.7813647487609723	1.0	1.0	1.0
1600000	-39681.691757125634	3854.2405153701193	-43535.93227249575	5.132551513418708	2020.4619690345264	1642.0099404989494	0.7804823484657043	1.246986162676737	0.8900088542744964	0.7711586835255511	1.3628138417301863	0.9485501093273231	0.27314537117131293	0.26045367706762745	0.24606301101636097	0.22033794074469912	0.11611845098440504	1.3764249245233067E-4	1.37642492452331E-4	-43535.93227249575	0.0	0.517443927901843	-3.998440448683561	-21.785715086178573	-19982.23187746046	2.021314951887143	0.7807932004672503	23890.484218622947	1.0	6.644804398956385	7.828539673702771	7.517648952456868	8.961305071892154	9.668721865785875	6.71792810652134	5.754850561688421	7.19678930452188	6.627305485819038	5.892309626465605	5.518031422900764	4.506690801758264	768.7796588207741	2511.259436224499	1840.2357225089831	7795.524546318427	15815.122251151977	827.1020676065839	315.71836357956084	1335.1371565180289	755.4438715373502	362.24096025997113	249.14409475987298	90.62143747289736	-0.6355358594309	-0.28414509947313027	1.7813647487609723	1.0	1.0	1.0
1700000	-39137.69069122733	3991.5215231474267	-43129.21221437476	5.04307234358516	2020.55144820436	1574.0301394835158	0.7709628539217745	1.2638864607096225	0.8816310085430953	0.7367054101512671	1.3844512243393927	0.9623630423348459	0.27072427235041163	0.2648527053425926	0.24194392403315626	0.22247909827383994	0.10827124031300697	1.4822784807143555E-4	1.4822784807143582E-4	-43129.21221437476	0.0	0.27384716707919743	-3.3660367900828216	-23.105319791968	-19844.8399490739	2.1247054510208807	0.7807932004672503	23889.37524910672	1.0	6.537196279838298	7.719775490113937	7.408100370789317	8.851067499609858	9.558045839930347	6.608361545965756	5.64600499774382	7.087797300305751	6.519252145582826	5.78479152426773	5.411121256639869	4.400107966571014	690.3483186381485	2252.4538256456026	1649.2903290860156	6981.838102876176	14158.15185380554	741.2674904847433	283.15798641047974	1197.2676728370952	678.0710972090453	325.314212923959	223.8824767123285	81.45966311070849	-0.7203311311135405	-0.2912479297585717	1.7808222807464844	1.0	1.0	1.0
1800000	-38906.72193648575	3969.9108925026217	-42876.632828988375	6.288596103995796	2019.3059244439494	1605.597345985658	0.7410257321082305	1.2695712685242015	0.8933408188834386	0.7224929242325494	1.414547870631306	0.9590213856202722	0.2739106894152789	0.2621632373942135	0.2413837683416446	0.2225423048488634	0.12573708682641555	1.3983942632481389E-4	1.3983942632481389E-4	-42876.632828988375	0.0	0.44624895600241493	-3.8511845669146307	-21.958586946828696	-19867.270349868704	2.0760692906527796	0.7807932004672503	23890.9479591753	1.0	6.556469512099783	7.740828465012739	7.431119840521352	8.874644797443459	9.582122054972155	6.631966023545402	5.668652667849158	7.1097902762678435	6.53953326394196	5.80437600482818	5.4296007438206395	4.418544159150388	703.7826073549267	2300.3773760755425	1687.696466430621	7148.406884061321	14503.163180144857	758.9728633128007	289.64402467091975	1223.8908402192587	691.9635383210311	331.7481195188923	228.05817360965412	82.97539840909889	-0.7471309940148647	-0.2751652397898694	1.7808222807464844	1.0	1.0	1.0
1900000	-38523.03769484366	4042.0996876257186	-42565.13738246938	5.621455483965296	2019.97306506398	1537.4967130638115	0.7415523644746196	1.2913757892003703	0.8634195698015644	0.7154113679569122	1.4258407208154429	0.9624001877510887	0.2657817913894135	0.27067752830872266	0.2386616921825037	0.2248789881193607	0.11917058604982816	1.5072830472266836E-4	1.5072830472266847E-4	-42565.13738246938	0.0	0.4502310037122891	-3.860019348433201	-21.95567006463128	-19796.43907518799	2.181118006841019	0.7807932004672503	23890.62858458692	1.0	6.465671629892963	7.652493671213839	7.342225314628028	8.788696443923843	9.497625455571187	6.54147146616155	5.5761717511755045	7.020208628859227	6.448736006387781	5.712064011559929	5.33649054196693	4.3233824860932	642.69587228261	2105.890445612563	1544.1445005242308	6559.675694642821	13328.041199104977	693.3060041517443	264.05878562371447	1119.020053272113	631.90306637067	302.4947771070215	207.7822262342802	75.44338339148598	-0.8543355872463461	-0.2751652397898694	1.7844329896512876	1.0	1.0	1.0
