trait	collection_date	location	longitude	latitude
CHIKV_RUN_S23b22_2025	2025-03-20	REU.2.3_1	55.449395	-20.923345
CHIKV_RUN_S23b65_2025	2025-03-21	REU.2.1_1	55.326362	-20.962809
CHIKV_RUN_S23b72_2025	2025-03-21	REU.4.8_1	55.497033	-21.300588
CHIKV_RUN_S23b89_2025	2025-03-21	REU.4.4_1	55.534402	-21.360321
CHIKV_RUN_S23b66_2025	2025-03-21	REU.2.3_1	55.443217	-20.881325
CHIKV_RUN_S23b86_2025	2025-03-21	REU.4.3_1	55.526244	-21.266649
CHIKV_RUN_S23b95_2025	2025-03-21	REU.2.1_1	55.363033	-20.92692
CHIKV_RUN_S23b82_2025	2025-03-21	REU.2.3_1	55.444657	-20.909177
CHIKV_RUN_S23b56_2025	2025-03-21	REU.2.3_1	55.427947	-20.891879
CHIKV_RUN_S23b94_2025	2025-03-21	REU.3.5_1	55.328573	-20.983875
CHIKV_RUN_S23b67_2025	2025-03-21	REU.4.5_1	55.634066	-21.338862
CHIKV_RUN_S25b17_2025	2025-03-21	REU.4.8_1	55.462813	-21.340556
CHIKV_RUN_S23b74_2025	2025-03-21	REU.4.5_1	55.630497	-21.335311
CHIKV_RUN_S25b10_2025	2025-03-21	REU.2.4_1	55.52827	-20.947371
CHIKV_RUN_S23b69_2025	2025-03-21	REU.2.5_1	55.580175	-20.925672
CHIKV_RUN_S23b90_2025	2025-03-21	REU.2.1_1	55.362962	-20.926828
CHIKV_RUN_S25b16_2025	2025-03-22	REU.2.3_1	55.449303	-20.893581
CHIKV_RUN_S25b09_2025	2025-03-22	REU.2.3_1	55.456964	-20.906856
CHIKV_RUN_S26b69_2025	2025-03-24	REU.4.3_1	55.505899	-21.261397
CHIKV_RUN_S25b95_2025	2025-03-24	REU.2.4_1	55.523042	-20.903674
CHIKV_RUN_S25b74_2025	2025-03-24	REU.2.3_1	55.488951	-20.900533
CHIKV_RUN_S25b71_2025	2025-03-24	REU.2.3_1	55.468596	-20.88681
